c;01AAAAA;Chimica;8;60;20;2
a;2021-2022;attivo;1;[{d000295,P001,[{d000295,30,10}]}];{80,10,10,S,A,40};{}
c;01AAAAX;Wireless Electromagnetics;8;60;20;0
a;2021-2022;attivo;1;[{d000296,P001,[{d000296,30,10}]}];{80,10,10,S,A,40};{}
c;01AAAAY;Project IoT;12;60;20;0
a;2021-2022;attivo;1;[{d000297,P001,[{d000297,30,10}]}];{80,10,10,P,L,40};{}
c;01AAAAZ;Network Lab;6;60;20;0
a;2021-2022;attivo;1;[{d000298,P001,[{d000298,30,10}]}];{80,10,10,S,L,40};{}
c;01AAABA;System Security;8;60;20;0
a;2021-2022;attivo;1;[{d000299,P001,[{d000299,30,10}]}];{80,10,10,S,A,40};{}
c;01AAABB;Satellite Navigation Systems;8;60;20;0
a;2021-2022;attivo;1;[{d000300,P001,[{d000300,30,10}]}];{80,10,10,S,A,40};{}
c;01AAABC;Cloud Computing;8;60;20;0
a;2021-2022;attivo;1;[{d000264,P001,[{d000264,30,10}]}];{80,10,10,S,A,40};{}
c;01AAABD;Something;8;60;20;0
a;2021-2022;attivo;1;[{d000264,P001,[{d000264,30,10}]}];{80,10,10,S,A,40};{}
